FL_DATE,Flight_Month,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,Delay_category,Delay_status,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
09-01-2019,2019-01,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1562,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",1155,1151,-4,No delay,Delayed,19,1210,1443,4,1501,1447,-14,0,0,0,186,176,153,1065,0,0,0,0,0
19-11-2022,2022-11,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1149,MSP,"Minneapolis, MN",SEA,"Seattle, WA",2120,2114,-6,No delay,Delayed,9,2123,2232,38,2315,2310,-5,0,0,0,235,236,189,1399,0,0,0,0,0
22-07-2022,2022-07,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,459,DEN,"Denver, CO",MSP,"Minneapolis, MN",954,1000,6,No delay,Delayed,20,1020,1247,5,1252,1252,0,0,0,0,118,112,87,680,0,0,0,0,0
06-03-2023,2023-03,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2295,MSP,"Minneapolis, MN",SFO,"San Francisco, CA",1609,1608,-1,No delay,Delayed,27,1635,1844,9,1829,1853,24,0,0,0,260,285,249,1589,0,0,24,0,0
23-02-2020,2020-02,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,407,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",1840,1838,-2,No delay,Delayed,15,1853,2026,14,2041,2040,-1,0,0,0,181,182,153,985,0,0,0,0,0
31-07-2019,2019-07,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,665,DAL,"Dallas, TX",OKC,"Oklahoma City, OK",1010,1237,147,Long Delay,On Time,15,1252,1328,3,1110,1331,141,0,0,0,60,54,36,181,141,0,0,0,0
11-06-2023,2023-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2134,DCA,"Washington, DC",BOS,"Boston, MA",1010,1001,-9,No delay,Delayed,23,1024,1122,8,1159,1130,-29,0,0,0,109,89,58,399,0,0,0,0,0
08-07-2019,2019-07,Republic Airline,Republic Airline: YX,YX,20452,4464,HSV,"Huntsville, AL",DCA,"Washington, DC",1643,1637,-6,No delay,Delayed,22,1659,1927,41,1945,2008,23,0,0,0,122,151,88,613,0,0,23,0,0
12-02-2023,2023-02,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,590,IAH,"Houston, TX",LAX,"Los Angeles, CA",530,527,-3,No delay,Delayed,11,538,658,8,717,706,-11,0,0,0,227,219,200,1379,0,0,0,0,0
22-08-2020,2020-08,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,223,SEA,"Seattle, WA",FAI,"Fairbanks, AK",2125,2116,-9,No delay,Delayed,19,2135,2353,3,2355,2356,1,0,0,0,210,220,198,1533,0,0,0,0,0
11-06-2021,2021-06,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2820,ATL,"Atlanta, GA",BDL,"Hartford, CT",1850,1959,69,Long Delay,On Time,14,2013,2208,4,2112,2212,60,0,0,0,142,133,115,859,60,0,0,0,0
31-07-2020,2020-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2107,RDU,"Raleigh/Durham, NC",DFW,"Dallas/Fort Worth, TX",1207,1201,-6,No delay,Delayed,14,1215,1346,11,1358,1357,-1,0,0,0,171,176,151,1061,0,0,0,0,0
05-08-2021,2021-08,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,430,MDW,"Chicago, IL",BNA,"Nashville, TN",820,826,6,No delay,Delayed,10,836,935,6,940,941,1,0,0,0,80,75,59,395,0,0,0,0,0
20-11-2019,2019-11,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1065,BDL,"Hartford, CT",ATL,"Atlanta, GA",600,555,-5,No delay,Delayed,15,610,802,6,840,808,-32,0,0,0,160,133,112,859,0,0,0,0,0
07-04-2020,2020-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,687,SJC,"San Jose, CA",LAX,"Los Angeles, CA",2155,0,0,No delay,Delayed,0,0,0,0,2315,0,0,1,D,0,80,0,0,308,0,0,0,0,0
01-05-2022,2022-05,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1011,BWI,"Baltimore, MD",BDL,"Hartford, CT",1735,1738,3,No delay,Delayed,12,1750,1843,3,1840,1846,6,0,0,0,65,68,53,283,0,0,0,0,0
01-07-2020,2020-07,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1225,STT,"Charlotte Amalie, VI",ATL,"Atlanta, GA",1615,1613,-2,No delay,Delayed,15,1628,1945,3,1957,1948,-9,0,0,0,222,215,197,1599,0,0,0,0,0
